answer,correction
"zolmitriptanspraydose - dose - oneinto one nostril, can have anotherat least 2 hours later",zolmitriptan
rosuvastin,rosuvastatin
provasatin,pravastatin
omeprazazole,omeprazole
amatipalin,amitriptyline
ustrogestan 100,utrogestan
metronome,0
omoprizole,omeprazole
simvastim,simvastatin
merina coil,levonorgestrel
amoplodine,amlodipine
hrt femoston-conti,femoston
hycosan extra,hyaluronic acid
salvix pastels,malic acid
omprazamole,omeprazole
steriod,steroid
sabutmol,salbutamol
atorastation,atorvastatin
lanzeprozole,lanzoprazole
alphacalcadol,alfacalcidol
floxitine,fluoxetine
eprelerone,eplerenone
amopdiphine,amlodipine
ibruprofen el,ibuprofen
hrt femostan,femoston
ipyradamole,dipyridamole
icald3,adcal-d3
bendruflomaside,bendrofluazide
prednisolaine,prednisolone
gabpentin milpharm,gabapentin
occasional  omeprazole,omeprazole
montelulukast,montelukast
latanaprost eyeeye,latanoprost
lanonprazole,lansoprazole
predisnol steroid,prednisolone
mesopotamia,0
bisoprololglycerine nitrate,bisoprolol
alervert,alavert
montilucust,montelukast
tamoxifilen,tamoxifen
clopidoerol,clopidogrel
hyloforte eyedrops,hyaluronic acid
dretine,ethinylestradiol; drospirenone
migraleve,co-codamol
matazapine,mirtazapine
fluexitine,fluoxitine
tilden retard,tildiem
bisopriol,bisoprolol
citaroplam,citalopram
beclamethcasone,beclamethasone
atovostatin,atorvastatin
hydrochloroquine,hydroxychloroquine
macushield,lutein
aldcal,adcal
multivits,multivitamin
autogolous serum eye,0
atorstatin,atorvastatin
sulfasasaline,sulfasalazine
atvorstatin,atorvastatin
lansaprozole,lanzoprazole
preventative - not got it yet still between gp and chemist,0
blue asthma,salbutamol
bladder instalation treatment,0
lanzoprozole,lanzoprazole
amytripyline,amitriptyline
thyxoine,thyroxine
dabagritan,dabigatran
chenil modulit,clenil
certrazine,cetirizine
fostair100,fostair
venfelaxin,venlafaxine
glyceril trinitrite,glyceryl trinitrate
everol sequi,evorel
qv gentle wash,0
symbicortturbo,budesonide
alendrotnic acid,alendronic acid
occasional diazepam,diazepam
lecridipine,lercanidipine
hylofotte,hyaluronic acid
omesoprazole,omeprazole
adcal- d3,adcal-d3
asprinclopidogrel,plavix
isinoporil,lisinopril
theoloz duo,hyaluronic acid; trehalose
dermol 500,0
bisopirol,bisoprolol
dermol 200 shower emollient,0
simvistatan,simvastatin
leitrazole,letrozole
cocosmocol,macrogol
"stexerol-d3 1,tablets",vitamin d3
laprazol,lanzoprazole
revlar ellipta,relvar
pace maker,0
fultium -d3,vitamin d3
zirte seasonal,zirtec
lorstatin,losartan
sterimarisotonic,0
rennie,calcium
clopidrogel,clopidogrel
lotradine,loratadine
azanthiprine,azathioprine
astrstatin,atorvastatin
felopidine,felodipine
amilopodine,amlodipine
spirolactone,spironolactone
ursoacid,ursodeoxycholic acid
mariosea,tolterodine
letrasol,letrozole
apida insulin,insulin
protoninhibitor,omeprazole
braltus,tiotropium
citaliprim,citalopram
beconasenasal,beconase
sertaline for hormanal mood swings,sertraline
avorvastin,atorvastin
vitamin b compound,vitamin b12
venuvlaxine,venlafaxine
methalcarbamol,methocarbamol
lamaprozole,lansoprazole
lanzoprozol,lanzoprazole
carmizelubricant,carmellose 
fenofexadine,fexofenadine
clinitas multi,hyaluronic acid
clinitus,hyaluronic acid
evoril conti,evorel
avimis nosewhen required,avamys
bisaprol,bisoprolol
kilogram,0
methertrexate,methotrexate
pregablin 200,pregabalin
lanzoperazole,lanzoprazole
ibersertan,irbesartan
benzoflumethiazide,bendroflumethiazide
menopace,vitamin a; niacin
abasalar insulin,abasaglar
amatripiline,amitriptyline
ballroom,0
iburopen,ibuprofen
sabutimol,salbutamol
ibersartan,irbesartan
canderstatan,candesartan
cerexette,cerazette
hormone replacement therapy testosterone,hrt
diazapan,diazipan
bendroflumethethiazide,bendroflumethethiazide
monopolist,monopost
lanzoprasol,lanzoprazole
subutamol,salbutamol
paraclemol,paracetamol
seretaine,seretide
doxacocin,doxazosin
remedine,dihydrocodeine; paracetamol
lansopresole,lanzoprazole
evorel conte,estradiol; norethisterone
clinitas carnomer,carbomer
filopidine,felodipine
doublebaseleve,0
hrtconti,evorel
mesavancol,mesalazine
venlaxifine,venlafaxine
diazepine,0
omoprozol,omeprazole
chlolecaliferol,cholecalciferol
calcidew-d,calcichew-d3
propylthioura,propylthiouracil
bondulc,travoprost
amityptaline,amitriptyline
montekulast,montelukast
bisoprplol fumerate,bisoprolol fumarate
quarter 50,0
anti depressants,0
presnisidole fostair,prednisolone
lanzaprozol,lanzoprazole
lansopraze,lanzoprazole
metazapan,mirtazapine
alflorex,0
avarice autohaler,salbutamol
larsatan,losartan
thealoz duo,hyaluronic acid; trehalose
vitamin c & zinc,vitamin c; zinc
dermol 200,0
clopidergril,clopidogrel
citirazine,cetirizine
remedeine forte,dihydrocodeine
metronizadol,metronidazole
artovadtatin,atorvastatin
arvostatin,atorvastatin
ranozalrne 500,ranolazine
glucomen strips,0
priadel lithium carbonate,lithium
fibogel sachets,fybogel
vertex 110 clinical trial drugs,0
phylocontin forte,phyllocontin
anti asthma,0
bimuno,0
nasalpowder,0
macu-save macular,zeaxanthin; lutein
pregablin 150,pregabalin
clinitas carbomer eye,carbomer
doxycyclinenys,doxycycline
clinitas carbomer,carbomer
cilitapram,citalopram
ivostatin,lovastatin
eklica genuair,aclidinium
omezaprole,omeprazole
lanzoprasole,lanzoprazole
4 x metabet,metformin
colpamin,colpermin
lisiniplil,lisinopril
amitryptiline 50mrs at night,amitryptiline
inhalerqavar,qvar
iberstatin,irbesartan
cyanocob12,cyanocobalamin
pramipraxole,pramipexole
glyceryltriitrate,glyceryl trinitrate
sandoz,phosphate
empaglifozin jardiance,empaglifozin
certirazine,cetirizine
cotrimoxadole,co-trimoxazole
supervise monitrateononitrate,isosorbide
vitamin d due to a deficiency,vitamin d3
anlodopine,amlodipine
hux,vitamin d3
diprhydymol,dipyridamole
nurideen,collagen
metojectmethatrexate,methotrexate
bendrofumethiazode,bendroflumethiazide
montelust,montelukast
"huxd 20,000",vitamin d3
xailin fresh,paraffin
allupurinolamplodipineapixibanatorvastatin,allopurinol; amlodipine; apixaban; atorvastatin
ursodeox,ursodeoxycholic
spiroalactone,spironolactone
hydroxchloroquine liquid,hydroxychloroquine
anti histamines,0
sterimar,sterimar
levothyroxidine,levothyroxine
setalipram,citalopram
zopiã§lone,zopiclone
vagiform pessaries,hrt
mebervarine,mebeverine
fultium d3,vitamin d3
omperozole,omeprazole
omeprosol,omeprosole
micophenolate mofetil,mycophenolate mofetil
sucubritil,sacubitril
contraceptive coil mirena,mirena
progynova,estradiol
myclophenalate mofetil,mycophenolate mofetil
predisinone,prednisolone
hrt oestrogen only,hrt
vitamin c as ester c,vitamin c
hydroxocobalim,hydroxocobalamin
holland & barrett vitamin d3,vitamin
adcal -d3,adcal-d3
titotropium bromide,tiotropium
inhalersalbutamol,salbutamol
venefaxine,venlafaxine
dermacoolmenthol,benzalkonium chloride
hormone replacement therapy,hrt
lansorparol,lansoprazole
mesalazineenema,mesalazine
enstilarspray,calcipotriol; betamethasone
brufonorphine,buprenorphine
liquidifilm tears,polyvinyl
omepresole,omeprazole
sanatogen complete a-z,multivitamin
evorel conti,estradiol; norethisterone
omeprosole,omeprazole
stexerol,stexerol-d3
peptac liquid,alginic acid; sodium bicarbonate; calcium carbonate
replens md,polycarbophil
vitamin d in winter,vitamin d3
toximuzub,tocilizumab
fultium vitamin d,vitamin d3
hylo tear,hyaluronic acid
hylo-tear,hyaluronic acid
hydrogenated mofetil,mycophenolate mofetil
lanzosparol,lanzoprazole
aciclarovir,acyclovir
glyceril trinitrate,glyceryl trinitrate
canderstain for migraines,candesartan
dapagliclizide,dapagliflozin
glucojet lansets,0
bectonetasone,beclometasone
salmutomol,salbutamol
nifedeprine,nifedipine
sunsense,0
amittrtyline,amitryptiline
gaviston advance,alginic acid; sodium bicarbonate; calcium carbonate
meberevine,mebeverine
omeprarazole,omeprazazole
amitiptylene,amitriptyline
evacal,adcal
nori contraceptive,hrt
alfacal,alfacalcidol
certitizine,cetirizine
hearing aid,0
alibaba,0
etolyn,etodolac
cenil modulite cfc-free,clenil
isotto plain,isopto
bioidentical progesterone,progesterone
atovasatin,atorvastatin
stomach,0
vb12,b12
hylo-forte,hyaluronic acid
mometazone fumuate,mometasone furoate
ispispaghula husk,ispaghula husk
hydrolyzed hydrochloride,0
citalapam,citalopram
elleste solo,estradiol
lanzoprosal,lanzoprazole
apicabsn,apixaban
sabutomal,salbutamol
evorel sequi 50oestradiol,estradiol
unknown-part of amedical study,0
mirina coil,levonorgestrel
doxycline,doxycycline
dihydrochloride,0
carmize,carmellose 
elantin la50,elantan
ibrufron,ibuprofen
cocodamil,co-codamol
atovarstin,atovastin
acqueous,aqueous
antorvastatinin,atorvastatin
andopline,amlodipine
omnicam needles,0
chlorpidogrel,clopidogrel
prohynova ts50,progynova
omniprazole,omeprazole
gutt occ disodium cromoglycate,sodium
zerobase,paraffin
dispersive asprin,aspirin
excepts,exsept
lercanipidine,lercanidipine
b12 - hydroxocobalamin,hydroxocobalamin
lansoprozale,lanzoprazole
amilodepine,amlodipine
amoxilaxso smith klyne,amoxicillin
adcal - d3,adcal-d3
nerve blocks,0
ciclonaside,ciclesonide
b12,vitamin b12
hydroxocobalin,hydroxocobalamin
atrocastatin,atorvastatin
amlopodin,amlodipine
lorsaton,losartan
cilest,norgestimate; ethinyl estradiol
fometamol,trometamol
zerobase crean,paraffin
apikiban,apixaban
sainisbury's hayfever & allergies,0
levothyoxinr,levothyroxine
fultium d3 800,vitamin d3
amertriptaline,amitriptyline
doxadozin,doxazosin
bisoprazol,bisoprolol
elleste  duet,estradiol; progesterone
hydramed night sensitive,vitamin a
adcal vit d,adcal-d3
indomecathin,indometacin
neilmed nasogel,hyaluronic acid
citizen,cetirizine
asthmabrown and blue,0
candles art an,candesartan
antiemetic,0
toprimarate,topiramate
ivabravadine,ivabradine
lamatrotine,lamotrigine
omeeprzole,omeprazole
cefelaxin,cefalexin
bioidentical testosterone,testosterone
sterimide,seretide
floxatine,floxitine
dammanose,d-mannose
preventer,0
fenofaxedine,fexofenadine
opremazole,omeprazole
benzoplurozide,benzoyl peroxide
fexofaladine,fexofenadine
asthmarelvar,relvar
atrovastin,atorvastatin
relearning ellipta,fluticasone; vilanterol
myra coilforfor heavy menorrhagia,mirena
turobine,duromine
amatripline,amitryptiline
perinderpril,perindopril
esomepraze,esomeprazole
zolendronic acid,zoledronic acid
calichew,calcichew-d3
qvar100 aerosol,qvar
vitimin b,0
anti depressants - escatalapram?,escitalopram
fenoxfenadine,fexofenadine
combined contraceptive,estrogen
levuracetam,levetiracetam
adcal d3,adcal-d3
sulphursalazine,sulfasalazine
zerocream,paraffin
zentiva cocodamol,co-codamol
fluxotine,fluoxetine
felopdine,felodipine
chenil modulute,clenil
cetirine,cetirizine
estrodial,estradiol
omerpramozole,omeprazole
respirimat,respirimat
aldronic acid,alendronic acid
bisoprinol,bisoprolol
hydrozocine,hydroxyzine
zolaire,xolair
diazipam if needed,diazepam
acidophilis,0
vitamin d3 supplement,vitamin d3
ipratrpium bromide aerosol,ipratropium
e45,hydrocortisone
ml,0
setralin,sertraline
lansorozole,lansoprazole
sterimarwash,0
calcified d3 forte,adcal
fluticasoneb furoate,fluticasone
citipram,citalopram
vitamin b12 im,vitamin b12
lanzaprasole,lanzoprazole
ivrabdine,ivabradine
vitamin d supplement,vitamin d3
elleste duet hrt,estradiol; progesterone
alvorvastatin,atorvastatin
proprananol,propranolol
gtnas read,0
lanzoprosol,lanzoprazole
felodopine parmid xl,felodipine
predislone,prednisolone
dermolol,0
humolog mix 25,insulin
hydochloride,betaine
presnisolene,prednisolone
ezetemibide,ezetimibe
sando k,potassium
intermittent self catherisation,0
fusomede,furosemide
parenteral nutrition,0
novamix insulin,insulin
hormonal coil,progesterone
ferrus sulphate,ferrous sulfate
lofric sense catheters,0
ampolodine,amlodipine
mometesome,mometasone
hrt evorel,evorel
cetirezene,cetirizine
vitamin d and calcium supplement,adcal-d3
bisoprplol fumarate,bisoprolol
osteocaps d3,vitamin d3
omoprezole,omprezole
overthecounterantihistamines,0
omprezole,omeprazole
lansoprazoleadcal-d3,"lansoprazole,"
oesrodose,estradiol
slit allergy therapy,0
rivatoxiban,rivaroxaban
dihydroclorine,0
methodexrate,methotrexate
long lasting insulin,long
germoloids suppositories,0
nefefidine,nifedipine
lacipidine,lacidipine
blue ventalin,salbutamol
antihistamines,0
sulfasazine,sulfasalazine
amyltriptolene,amitriptyline
phorpainmaximum,phorpain
evoril conti when available,evorel
monukuklast,montelukast
becinometasone dipropionate,beclometasone
ritandine,ranitidine
anastresrozole,anastrozole
qvar50,qvar
lostartin,losartan
