answer,correction
hirudoid gel,0
amdopoline,0
acqueous nasal spray,0
flourmetholone eye drops,0
mepomalizumub,0
ibersartan,0
prolonged release tegtrol,0
oestrodiol 37.5mcg twice weekly,0
pantoprazolefel,0
centrum advance 50*,0
altrorvastain,0
hrt evorel conti,0
angilal 40mg,0
fexofenadrine 120mg,0
triplixam,0
myra coil implant forfor heavy menorrhagia,0
clinitas,0
ramapril 2.5g,0
vitamin d due to a deficiency,0
monkulast,0
isr mononitrate,0
influenza vac,0
100 mg levothyroxine,0
lispriniol,0
allupurinolamplodipineapixibanatorvastatin,0
citaroplam,0
ellesse solo hrt,0
cotrimoxadole,0
progestogen only implant,0
amiodatorone,0
qvar50 inhaler,0
candestartian,0
artovastin,0
adcal d3 2 bd,0
candestarton,0
protein pump inhibitor,0
citaliprim,0
tacrolimnus ointment,0
cetirezene,0
adcal- d3,0
loratedine 1 daily,0
lanctus glargine,0
biasprol,0
listoretic 20,0
pregablin 200,0
tamoxifilen,0
rivaoxibane 20mg,0
peptac liquid peppermint,0
adcal -d3,0
averstatin,0
low dosage aspirin,0
latranapost,0
canderstain for migraines,0
quarter 50,0
evorel conti patches,0
10mg cardioplen,0
baleum plus moisturer,0
revlar inhaler for asthma,0
vitamin d and calcium,0
icm implant,0
qv wash,0
vitamin d3 supplement,0
gabpentin milpharm,0
seems book lotion,0
blue reliever inhaler,0
atrorvastatin 10mg daily,0
antripoline,0
blue asthma inhaler,0
cq10,0
latanaprost eye drops eye drops,0
diltiazam la,0
dermol 200,0
xailin eye lotion,0
floxatine,0
adcal-d3 chewable tablets- 1.5g,0
levothyoxinr,0
dtransdermal patch,0
evacal d,0
levothyrovine 100mcg,0
bendrofluthiamazine,0
fultium d3 800 iu,0
hylofotte eye drops,0
depo injection,0
occasional  naproxin,0
lindaglipton,0
colpamin,0
omeprosole,0
lisinprosil,0
intermittent self catherisation,0
raloxifene60mg,0
beterhistine,0
pericyzine 2.5mg,0
annitriptiline,0
lanzansaprasol,0
escitaprolam,0
omeprazazole,0
ellesto solo,0
evorel conti patches norethisterone acetate,0
optive eye drops,0
lanzoprazole prn,0
vitd with calcium,0
silfenadil,0
trilogy ellipta 55mg,0
alphacodicol,0
excetra cream,0
monukuklast,0
pregablin 150,0
ibuproen gel,0
lansoprozale,0
devilbiss,0
omeeprzole,0
bisoporol,0
isotto plain 0.5%,0
fultium,0
glandosane,0
beclomisthan,0
candesartin cilexetil,0
vitamin b+,0
cobeneldopa retard,0
fultium -d3 800 iu 20 mg,0
cetirine,0
theical d3,0
vocalzones,0
statin 40 mg,0
octenisan wash,0
100mg losartan,0
losartum potassium,0
lansorozole,0
paraclemol,0
citopram 10mg,0
nurideen,0
vitamin d 800 iu daily,0
b12 injection,0
atorvastin 20mg,0
fox air inhaler,0
vitamin d3 daily oral spray,0
micophenolate mofetil,0
coralina h,0
22fultium,0
antidepressants,0
larsatan,0
sanatogen a-z,0
felodopine parmid xl,0
hormonal coil,0
vitamin d injections,0
forstair inhaler,0
fluxutine,0
atorastation,0
serretide 250 acculhaler,0
tamsolosin 400mcg,0
subutoml,0
ibersertan,0
500mg hydroxycarbamide,0
prednisolaine,0
low dose naltrexone,0
levthoroxine,0
bitamoprost,0
sabultomol,0
sunsense,0
supervise monitrateononitrate,0
tropsium chloride,0
vitamin b compound,0
roprinole,0
excepts cream,0
gederal 20,0
quietapine,0
atvorstatin,0
autogolous serum eye drops,0
adcal d3,0
dovenex ointment,0
amiltriptyline 10mg,0
coloymicin,0
everel conti,0
meritene,0
occasional  omeprazole,0
ironcare,0
adcal d3 caplets,0
fometamol,0
predisolene,0
overthecounterantihistamines,0
acreete,0
tzanadine,0
glyceril trinitrite,0
qvar100 aerosol inhaler,0
ovar 50,0
umeclidium,0
hormone replacement therapy testosterone,0
escatilopram,0
sainisbury's hayfever & allergies,0
lisinropil,0
forstar,0
certiririzine,0
ppi,0
xailin eye drops,0
bisoprplol fumerate,0
bisporol,0
lanzaprol indigestion,0
ibrufron,0
omeprezole 10mgs,0
isphagula husk,0
omnepraxole,0
amplodipine 5mg,0
hay fever,0
elleste duet hrt,0
prem-pack 2.5,0
bladder instalation treatment,0
hrt evorel 75,0
canestartan,0
hydrolyzed hydrochloride,0
oestrogen patch,0
aquamax cream,0
dermacool1% menthol,0
oestrogen cream,0
tilden retard,0
predisnolene,0
flexofanadine,0
amitryptiline 50mrs at night,0
vera-til sr 120mg,0
clinitas eye drops 0.5ml,0
fusomede,0
atvarstatin,0
qv gentle wash prescribed,0
red and white inhaler,0
fultium-d3 800u,0
calcidew-d,0
turbohaler,0
fluticanose,0
sandoz,0
proponanalol,0
hrt evorel 25 patch,0
hylo eye ointment,0
bisoprololol,0
lanspprazole 30mgs,0
levothyroxineomeprazole,0
bendroflumithiazile,0
bendoflusimide,0
bendroflumethiazicide,0
pregabslinl,0
cilest,0
sertaline for hormanal mood swings,0
evorel continues,0
dermol shower,0
menopace tablets,0
ferritin fumarate,0
cetracine,0
levuracetam,0
sanatogen complete a-z,0
ivrabdine,0
evorel conti patch,0
losaeran,0
amliopodine,0
"fultium-d3, 20,000 iu",0
osteocaps d3,0
amatipalin,0
hrt patch evo conti 50mg,0
chlolecaliferol,0
10mg omoprazole,0
4 x 500mg metabet,0
spironolacto,0
sambutol inhaler,0
evorel  50 patches,0
fexodenadine tablets,0
xailin fresh eye drops,0
flucloxillin,0
certirazine,0
doublebase dayleve gel,0
easyhaler,0
contaceptive pull,0
inhaler 1,0
ibobrufen,0
meberevine,0
femseven,0
calcified d3 forte,0
dabagritan,0
thyxoine,0
ducosate,0
folpik xl,0
hylo gel,0
glucamide in tablet form,0
canderstartin,0
hycosan extra,0
benflumazide,0
lanzoprozole,0
valsarin 40mgs,0
ovestrin cream,0
montelulukast,0
10mg atorvastatin,0
asacol800mg,0
ezetemibide,0
perindopril4mg once daily,0
dihydrochloride,0
amniptryptoline,0
"stexerol-d3 1,000unit tablets",0
levothrixine 25,0
remedeine forte,0
dammanose,0
xailin ointment,0
zolaire,0
denusomab,0
ormaprezol,0
vagifem10 micrograms,0
"easi-breathe, preventative",0
predisnol steroid tab,0
escilitopram,0
prograbalin,0
merina coil,0
omrezapole,0
vitamin d3 - cholecalciferol,0
certitizine,0
atovarstatin,0
ezectimibe 10mg,0
rag;lisanrasagiline,0
atovastatin 20mg,0
cicloniside,0
vitapos eye ointment,0
lymeceline,0
omniprazole,0
proyponal,0
hayfever tabs,0
ellipta inhaler,0
ibruprofen 5% gel,0
simple eye ointment,0
spoilto inhaler,0
calcichew d3 forte,0
irbasatan,0
levy thyroxine,0
blue ventalin inhaler,0
10mg ramipril,0
candles art an,0
ferrours fumerate,0
predisinone,0
lorsaton,0
amlopadine 5mg,0
lercanapidine,0
b12 injections,0
bioidentical testosterone,0
hrtprogynova estradiol valerate,0
evorel sequi,0
fybogel sachets,0
eprelerone,0
112 fultium-d3 800u,0
roaccutain,0
bisoprololglycerine nitrate,0
thyroxin 150 mg,0
hydroxychloroquinine,0
estrodole,0
leg support stockings,0
cynovit b12,0
vitamin b12 injections,0
inhalerqavar,0
propalanol,0
hrt femoston-conti,0
75mg aspirin,0
lanzaprozole,0
evorel hrt patches,0
entacone 200mg 5x,0
finastereride 5 mg,0
pramipraxole,0
cocosmocol,0
folpik,0
b12 - hydroxocobalamin,0
hrt.femoston-conti,0
lanzaprasole,0
evorel sequi 50 patches oestradiol,0
ibucalm,0
sanatogen multivitamin,0
flxonase aqueous nasal spray,0
combined oral contraceptive pill,0
doxycline,0
inhaler 2,0
tardnafil,0
icald3,0
nifipidene,0
predisalone,0
losasrtan potassium,0
aymes drinks,0
germoloids suppositories,0
atovasatin,0
eritoxib,0
hux d3,0
gtn spray as read,0
anti asthma,0
andopoline,0
cocodamol 30,0
etraercept,0
osteocaps,0
hrt oestrogel,0
easyhaler salbutamol inhaler,0
hylo-forte drops,0
hydroxycholaqine 200mgs daily,0
iburopen,0
glimeplide,0
proton pump inhibitor,0
replens md,0
b12 i njection,0
cileste contraceptive pill,0
aqueous cream,0
evolve ha 0.2%,0
xailin fresh 0.5% eye drops,0
amilodepine,0
ferrus sulphate,0
evorel patches oestrogen only,0
fluticadone aqueous nasal soray,0
pryrodistigmine bromide,0
esomeparazolr,0
hydroxycycobalamine injection,0
anti histamines,0
migralieve,0
5mg lisinoporil,0
salvix pastels,0
avorvastin,0
37.5 venflaflaxine,0
solfenanacin,0
mirerna coil,0
b12 injection 4 times a year,0
empaglozin,0
calcepoyriol scalp solution,0
bisoprplol fumarate,0
algerians citrate,0
epimax cream,0
contraceptive pill desogetrel,0
ursonorm,0
everol hrt medication,0
amlopidine 50mg,0
isomol gel,0
benzoflumethiazide,0
sidefanil,0
nasobec,0
oesrodose,0
adcal-d3 caplets750mg,0
avorstatin tab,0
depo medrone injection,0
lamitravie,0
opatinol for hay fever in eyes,0
buthemetasone,0
sumitryptan 100mg as necessary,0
tramsulosin 400mg,0
alfacal,0
vitamin d 1000mcgs,0
monopolist eye drops,0
bisoprinol,0
omerapzole,0
adcal-d3 chewable tablets,0
flurate nasal spray,0
hrt tablets,0
hrt femostan,0
doaxosin,0
elleste solo 2mg,0
braltus,0
gluscomine tabs,0
clobevate,0
law tulles solution,0
cyclone 50mg,0
diazepan 2mg,0
flexofenetene,0
venlaflaxine 37.5mg daily,0
clenin modulite,0
levo thyroxine,0
ramapil almus,0
clinitas 0.4% sodium hyaluronate,0
ezemtibe,0
lanzoprosol,0
clopidrogel,0
hearing aid,0
candersatin 8mg,0
alvorvastatin,0
vitamin b compound strong,0
monteleucast,0
viteyes 2,0
amytrptalinr,0
efucrer 5-flu,0
fultium-d3 800unit capsules,0
mometasoneparacetamol,0
40 mg omeprazole,0
bisaprol,0
mirina coil,0
hrt cream,0
amitriplyline 25mg,0
nebulised salbutomal,0
hrt evorel 50,0
accord,0
steriod,0
bisoperol,0
hrt tiblone,0
diazipan,0
cenil modulite cfc-free inhaler,0
ivostatin,0
loxido orange powders,0
omeprosol,0
amiltriptaline,0
vitapos  eye ointment,0
amloplodine,0
omerpramozole,0
disioatadine 5 mg,0
macu-save macular  capsules,0
metronizadol,0
hydroxchloroquine liquid,0
anti-psychotic,0
dermolol,0
arorvatstatin,0
levocetrizin antihistamine 10 mg,0
clairette,0
eklica genuair 322 micrograms,0
esomepraze,0
sebco scalp ointment,0
prochloperizine,0
levothyroxinomeprazole,0
mitrazapene,0
metronazidole,0
hrt daily tablet,0
400mg vit d supplement,0
amlopdopeine,0
b12 injections every 8 weeks,0
invitation d3,0
slamoli easi breath 100mg,0
alibaba 5mg,0
rivegidon,0
artovadtatin,0
cetallopram,0
alfusosin hydrochloride slow release,0
felopidene,0
carmize 1%,0
loveothyroxine,0
normacol granules,0
cimzia200mg,0
glucojet lansets,0
depro medrone injection,0
clopidregel 75,0
sucubritil,0
beclasone,0
evorel 50 patches,0
ivabravadine,0
lansaprozole,0
ace inhibitor,0
antiemetic,0
lansaptrazole,0
diltaziem retard,0
lanzoprasol,0
midrodine,0
oestrogen 80g,0
statin 20mgs,0
contraceptive coil mirena,0
atovarstin,0
blecometasone nassl spray,0
bet i gained 60 mg,0
pace maker,0
lanzopranil,0
candestatan 8mg,0
sterimar31.8% isotonic nasal spray,0
inhaler in case i cough due to reflux but not often,0
mometazone fumuate,0
glycryl trinitrate,0
filopidine,0
breezhaler,0
bendroflumathiazide 2.5mgms,0
avyms steroid nasal,0
seritide 125 mg,0
blephaclean,0
5mg finasteride,0
hayfever tablets,0
lanzoprazolr,0
gaviston advance,0
diazapan,0
rapeprozol,0
bupreonphine patch,0
doxycyclinenys,0
epaderm ointment,0
atrovastin,0
evorel conti hrt,0
lotasteride,0
oestrogen pump,0
clinitus eye drops,0
flixitide inhaler,0
combine oral contraceptive pill rigevidon,0
renew,0
bratlus tiotropium 10microgram,0
ampolodine,0
lumecare,0
amlodoprine,0
iberstartan,0
beclamethasone nasal spray,0
beclomethesonr,0
renovit,0
glucomen strips,0
omaprezole,0
abasalar insulin,0
sublingual vitamin b12 spray,0
cyanocob12,0
depo provera injection,0
evacal d3,0
hylo- tear,0
antorvastatinin,0
symbocal inhaler,0
optive fusion eye drops,0
spironolactalone,0
dispersibleasprin,0
cocodamil,0
oestrogen pessaries,0
fexothenadibe hydrochloride,0
d3,0
dihydroclorine,0
amityptoline 10 mg one at night,0
clinitas multi,0
amolodopine,0
atovastatin 80mg,0
vitimin b injection,0
hydochloride,0
amytryptylinr,0
hux,0
sterimar nasal spray,0
omoparazole,0
ezetimbile,0
canderstatan,0
epipepipen auto injector,0
dermacool 2%,0
omeprusele,0
lansopraze,0
ibersatan,0
prostasan,0
amilopidine,0
respimat,0
adcal d,0
symbicot inhaler,0
lantanoprost eye drops,0
sabutamol inhaler,0
ativorstatin,0
benzoyl peroxide cream,0
sabutamal,0
50:50 ointment,0
oestrygen,0
holland & barrett vitamin d3 spray,0
quar inhaler,0
calcia d,0
bisoprotol  1.25,0
gtn patch,0
antipodine,0
aledronic acid,0
lanzoperazole,0
panteprose,0
chenil modulit,0
hylotear,0
pop,0
sterimar nasal,0
septrin forte,0
benzafluzadine,0
ceterizine antihistamine,0
duorespspinomax160micrograms,0
ispispaghula husk,0
glyceryn trnitrate as needed,0
pramipole,0
zerobase,0
sterimar isotonic nasal spray,0
rovustatin 10mg,0
injection for pernicious anemia,0
"belometasone, 2 puffs twice a day",0
bisopirol,0
im b12,0
evoril conti when available,0
benzafibrate 400mg,0
citalapam,0
replens md vaginal moisturiser,0
hernia meication,0
canes tan pessaries,0
metajet,0
hay fever tablet,0
hayfever tablet,0
contraceptive pill,0
chlartyhomicin for sinus problems,0
presnisolene,0
amlopidine 5 mg,0
sabultamol sulfate,0
cia is,0
vitamin b12 shots,0
preventer inhaler,0
lanzaprsazole,0
muco-adhesive buccal tablets,0
omoprazil,0
daktacort 2%,0
fexofaladine,0
atorvaststatatin,0
progynova 1mg,0
inhalersalbutamol,0
250micrigrams of levothyroxine,0
perinpendril,0
mitraprazine,0
remedine,0
elantin la50,0
amlidopene,0
mesopotamia 10mg,0
bp2,0
kilogram 2mg,0
adcal-d3 75mg,0
rosuvastator,0
fluticazone 250 g,0
ipratrpium bromide aerosol inhaler,0
lansaprasol,0
emaprosole,0
nil,0
parenteral nutrition,0
betahistamine,0
prohynova ts50,0
amiodipine 10mg,0
rosuvasastatin,0
hyloforte drops,0
100 mc thyroid lexostine,0
175mg thyroxine,0
bectonetasone,0
hrt patches - evorel conti,0
macu-save,0
evorel hrt patch,0
deprovera,0
etolyn,0
nova rapid,0
mometosone fu,0
aqueouscream,0
testeron,0
azitromyen,0
spirolactone,0
vitamin b12,0
vertex 110 clinical trial drugs,0
omeprarazole,0
sterimar,0
omerperezerole,0
glucogel,0
evorel oestrogen hrt patches,0
hemp oil drops,0
atorvastin 40mg,0
solatol,0
estradiolol,0
chenille modulate inhaler,0
germoloids cream,0
lodoz = 5mg bisoprolol + 6.25 mg hydrochlorothiazide,0
amiodipine 5 mg,0
hyacyst,0
inhaler blue,0
avarice autohaler,0
hydrochloroquine,0
atorvastin,0
renavit,0
olmestartin,0
adcal d3 750mg,0
become aqueous nasal spray,0
orabase,0
oxybutin tablets,0
forestair 200/6,0
dermol lotion,0
hylo tear eye drops,0
hydrozocine,0
hydroychloquinine,0
elleste duet 2mg,0
vitamin c as ester c,0
evorel conti hrt patches,0
venflaxine,0
nsaid - prn,0
vitamin d and calcium supplement,0
gtn  spray,0
enora ellipta,0
contraceptive ?,0
lecridipine,0
optive fusion,0
lercanipidine,0
qv gentle wash,0
cilitapram,0
darpoetin alfa,0
prempak c,0
evolve ha,0
carmize eye lubricant,0
sacubritil and valsartan,0
bispropolol,0
benzoplurozide,0
amidopiline,0
afro a statin 20 mg,0
solpadeine max,0
fortisip,0
fenofaxedine,0
levi thyroxine,0
germiston conti,0
glyceril trinitrate,0
nasobec aqueous,0
lantaprost,0
hayfever nasal spray,0
zoplicobe,0
hayfevertablets,0
aziaprine,0
sevikar hct,0
hormone replacement therapy oestrogen,0
humeria tnf,0
venfelaxin,0
contraceptive,0
lanonprazole,0
felopidine,0
fultium d3 800,0
30mg mirtazapoine,0
dozasonsin,0
donazepil,0
canderstan,0
leterazole,0
calcichew d forte,0
gavisvon advance,0
relearning ellipta,0
zentiva cocodamol,0
consul modulite,0
omprezole,0
evohaler,0
zerocream,0
nebusal nebuliser,0
vismed gel,0
optrex eyedrops,0
depalta,0
amytrypaline,0
fecxofendanie,0
omnicam needles,0
omniprazol,0
alendrotnic acid,0
injection vitamin b12,0
225mg levothyroxine,0
omepresole,0
hyalofemme vaginal moisturiser,0
adacal d3,0
zerobase 11% cream,0
oestrogen patches,0
solinefacin,0
amlopodin,0
fultium-d3 800iu,0
evolve ha 0.2% eye drops,0
indomecathin,0
dispersive asprin,0
revlar ellipta,0
hormone injections,0
dispersible asprin,0
carmize,0
liquidifilm tears,0
hrtpatches,0
hrt for cystitis,0
long lasting insulin,0
fluoxitine 40,0
birth control pill,0
evoril conti,0
hycosan extra eye drops,0
decongesterol,0
opramazole,0
felopdine,0
solube aspirin,0
fenofexadine,0
sleeping table,0
lansoprazoleadcal-d3,0
gtn,0
bendroflumeiazide 2.5mg,0
steroid cream for dle,0
calcepoyriol oontmemy,0
natridofuryl,0
vitamin d in winter,0
evoril patches twice a week,0
vitamin d supplement,0
aciclarovir,0
bendrohydtofluride,0
omneprazol e,0
osemeprazole,0
alervert,0
sando k,0
humolog mix 25,0
levothyrixine 100 micrograms- mercury pharma group,0
myclophenalate mofetil,0
vagiform pessaries,0
autovastatin,0
ceyrizine hydrochloride,0
priadel,0
blue inhaler,0
ballroom 1.25mg,0
gutt occ disodium cromoglycate,0
clinitas eye gel,0
zemtard,0
vitiman d,0
pravastin,0
iberstatin,0
ferroess,0
cerexette,0
prostagenix,0
desosumab injection every 6 months,0
bioidentical progesterone,0
pollanase nasal spray,0
oestrogen gel,0
hylo-tear 0.1% eye drops,0
glyceryltriitrate,0
ritandine,0
sabutamol inhaler prn,0
zaletta,0
multivits,0
zoplicone,0
anti cholesterol,0
optamol,0
cocodmol,0
perindropil erbumine,0
zeletta,0
"huxd 20,000",0
novarapid insulin,0
lercanidipane hydrocloride,0
levothyoxine sodium,0
paroxitene,0
laprazanol,0
piztofin,0
adcal-d3 750mg,0
amopdiphine,0
levothyroxidine,0
praxada,0
ecitalo,0
metronome 2.5mg,0
cefelaxin,0
hrt patches - evorel 50,0
hrt utrogestan,0
matazapine,0
montelakust tabs,0
ursodeox,0
empaglifozin jardiance,0
epixmax cream,0
bimuno,0
avorostatin,0
methertrexate,0
for flare ups lprednisolone,0
nerve blocks,0
hydroxocobalin,0
evolve eye drops,0
imipren 10mg,0
liskonum,0
hydroxocobalim injection,0
aclidium bromide,0
relvera,0
rampiril blood pressure tablets,0
omoprezole,0
setraline 50mg daily,0
lanzoprozol,0
ibrufens,0
clopidergril,0
amitriplene,0
elleste solo,0
12.5 mg losartan,0
predislone,0
femsoston 1,0
huxd3 500mcg,0
braitus,0
larstatan,0
dermol 500,0
cotrimoxicilin,0
prostasan saw palmetto,0
hormone replacement treat,0
omeprazoleatorvastin,0
evacol d3 1500mg,0
cliches d3 forte,0
dretine,0
montelust,0
fultium d3 vit d,0
marina coill,0
citipram,0
hybac eye drops,0
methodexrate,0
fibogel sachets,0
hyabak,0
lacipidine,0
galiciazide,0
stexerol,0
vitamin b injections every 3 months for life.,0
hydramed night sensitive,0
amlodipidine,0
ciclonaside,0
hyalaforte eye drops,0
thealoz duo gel,0
lanzaprazole,0
hrt vaginal cream,0
elleste solo img od,0
mebervine,0
hrt everol,0
itraproprium bromide nasal spray 21 micrograms,0
alflorex,0
rennie,0
citerizine,0
fenoxfenadine,0
hylo night eye ointment,0
revlar ellipita,0
amytripyline 75mg,0
metamofin,0
gapabentin,0
tamusolin,0
sterimide,0
landoprazole 30mg daily,0
mertazipam,0
apida insulin,0
shorter liquid 5mg,0
ibroprufin,0
lanzaprozol,0
bimatoprost300ml,0
presnisidole fostair,0
hrt gel,0
degestoral,0
amoplodine,0
vedoluzimab,0
diprhydymol,0
b6,0
migraleve,0
hrt,0
10mg noratriptiline,0
100 mcg thyroxine,0
lanzeprozole,0
vb12 injection,0
oestradial cream,0
jobst compession stockings,0
iboprufen,0
steroid inhaler,0
amplodopine,0
400mg tamsulosin,0
fultium d,0
adlodopine,0
fluticasoneb furoate,0
xailin eye gel,0
hrt oestrogen only,0
car ergo line,0
perindoropril,0
fostsir 200/6,0
omoprizole,0
kilofem 2 mg/1 mg,0
duciltia,0
triptans,0
everol sequi,0
futilium d,0
pop contraception,0
ellest solo 40 patches,0
testoterone gel,0
clinitas carbomer 0.2% eye gel,0
intravenous infusion at metabolic bone centre,0
lansaprosol,0
colistazol,0
phylocontin forte,0
citirazine,0
omerprezol,0
ibroprofen,0
omeprozel,0
risondronate sodium,0
acrivistan 8mg capsules one tablet 3 times a day,0
neilmed nasogel,0
preventative - not got it yet still between gp and chemist,0
levothtroxine  sodium 100 microgram,0
everol hrt,0
aldcal,0
creams for skin flare ups,0
bendroflumethethiazide,0
travaprost eye drops,0
fluexitine,0
lanzosparol,0
lanzoprasole,0
seretaine,0
hrt estrodot 50,0
ustrogestan 100,0
asprinclopidogrel,0
lacrilube eye ointment,0
anti depressants,0
amodipil,0
econozole cream,0
clopridirole 75 mgs,0
lercandipine hydrochloride 20mg,0
mometazone furoate  50mg,0
0,0
contraception pill,0
levocerterizine,0
corticosteroid ointment,0
fluticazone propionate,0
prednisolonetheical- d3,0
